id,channel_bandwidth,event_timestamp,mac_address,noise_floor,primary_channel,primary_phy,received_antenna_id,rssi,secondary_channel,transmit_protocol,beacon_event_id,id,area_ceiling,area_count,area_floor,area_radius,barometer_accuracy,classification_type,epoch2019,geodetic_altitude_meters,height_above_takeoff_meters,height_type,horizontal_accuracy,identity_type,latitude,longitude,operational_status,operator_geodetic_altitude_meters,operator_latitude,operator_location_type,operator_longitude,pressure_altitude_meters,speed_accuracy,speed_meters_second,time_of_applicability,time_of_applicability_accuracy,track_direction,ua_type,uas_category,uas_class,unique_id,unique_id_length,vertical_accuracy,vertical_speed_meters_second,epoch2019_datetime,,,,
19158459,0,41:19.1,60601f2c7965,0,2437,0,WIFI_3,-81,0,0,19158454,19158454,24,1,24,0,0,0,154538881,465,245.5,0,10,1,39.97467041,-86.16383362,2,231,39.97473907,1,-86.16383362,-1000,2,0,24775,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 15:28,,,,
19158458,0,41:19.1,60601f2c7965,0,2437,0,WIFI_3,-81,0,0,19158453,19158453,24,1,24,0,0,0,154538881,448,229,0,10,1,39.97468948,-86.16384888,2,231,39.97473907,1,-86.16383362,-1000,2,0,16810,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-4.5,11/24/2023 15:28,,,,
19158457,0,41:19.1,60601f2c7965,0,2437,0,WIFI_3,-81,0,0,19158452,19158452,24,1,24,0,0,0,154564877,465,245.5,0,10,1,39.97467041,-86.16383362,2,228,39.97468567,1,-86.16385651,-1000,2,0,24775,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 22:41,,,,
18832034,0,28:02.0,60601f2c7965,0,2437,0,WIFI_3,-82,0,0,18832029,18832029,24,1,24,0,0,0,154538822,448,229,0,10,1,39.97468948,-86.16384888,2,233,39.97473145,1,-86.16384125,-1000,2,0,16810,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-4.5,11/24/2023 15:27,,,,
18832033,0,28:02.0,60601f2c7965,0,2437,0,WIFI_3,-82,0,0,18832028,18832028,24,1,24,0,0,0,154538881,448,229,0,10,1,39.97468948,-86.16384888,2,231,39.97473907,1,-86.16383362,-1000,2,0,16810,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-4.5,11/24/2023 15:28,,,,
18832031,0,28:01.9,60601f2c7965,0,2437,0,WIFI_3,-82,0,0,18832026,18832026,24,1,24,0,0,0,154538822,512,294.5,0,10,1,39.9746933,-86.16386414,2,233,39.97473145,1,-86.16384125,-1000,2,0,16224,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 15:27,,,,
18831185,0,27:03.6,60601f2c7965,0,2437,0,WIFI_3,-85,0,0,18831179,18831179,24,1,24,0,0,0,154388277,512,294.5,0,10,1,39.9746933,-86.16386414,2,234,39.97473145,1,-86.16383362,-1000,2,0,16224,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/22/2023 21:37,,,,
18831184,0,27:03.6,60601f2c7965,0,2437,0,WIFI_3,-85,0,0,18831180,18831180,24,1,24,0,0,0,154388277,469,244,0,10,1,39.97468185,-86.16391754,2,234,39.97473145,1,-86.16383362,-1000,2,0,22772,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-4.5,11/22/2023 21:37,,,,
18831183,0,27:03.6,60601f2c7965,0,2437,0,WIFI_3,-85,0,0,18831178,18831178,24,1,24,0,0,0,154538822,512,294.5,0,10,1,39.9746933,-86.16386414,2,233,39.97473145,1,-86.16384125,-1000,2,0,16224,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,5,11/24/2023 15:27,,,,
17972121,0,49:34.9,60601f0acffe,0,2437,0,WIFI_3,-63,0,0,17972116,17972116,24,1,24,0,0,0,154482574,287,72,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29740,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
